Views,Likes,Shares,Comments,Engagement_Level_Calculated,Platform_Instagram,Platform_TikTok,Platform_Twitter,Platform_YouTube,Content_Type_Live Stream,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Region_Australia,Region_Brazil,Region_Canada,Region_Germany,Region_India,Region_Japan,Region_UK,Region_USA,Conversion_Rate
4163464.0,339431,53135,19346,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.15654138837771028
4155940.0,215240,65860,27239,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.30598401782633416
3666211.0,327143,39423,36223,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1205069342727643
917951.0,127125,11687,36806,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.09193313666926779
2066886.0,317502,45222,33638,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1424305988578834
2169523.0,496078,96041,30174,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.19360060312705663
3898384.0,8634,69378,42700,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8.035441269358998
4070332.0,379894,46012,25242,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.12111799606940046
4585669.0,465871,69083,8999,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.14828783074824817
4105651.0,195560,37627,49089,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.19240642257146623
1633015.0,312907,45774,30725,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1462862767484816
2471790.0,370802,54110,17081,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.14592693674397852
3079923.0,124237,44062,26702,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.35466084979879897
2051091.0,24472,54704,41737,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.235371035372928
3461154.0,165335,50077,19505,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.30288202738059805
3143932.0,298685,84720,37162,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2836433031359578
3924406.0,35376,72832,3949,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0587969238865904
4357851.0,449803,63438,28280,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.14103507535207557
4910814.0,197287,53218,14896,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.26974914716784437
4369260.0,212278,21264,18172,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.10017053109129677
1874437.0,322601,35671,48768,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.11057312283252149
1653907.0,91836,77370,2823,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8424800730821812
4683280.0,311330,3357,5110,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.01078277069313003
2342195.0,91944,89578,44440,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9742669449910525
4948349.93,8731,4500,46045,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5154048785758735
3005703.0,16688,77970,15891,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.6722195561647775
1855796.0,158156,6423,20518,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04061180100403325
1367820.0,10794,7617,36639,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7056698159109971
4499253.0,469481,89583,41549,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.19081283374213626
